Defect,CurrentLocation,ExpectedBlueprintLocation,ResponsibleMeters,CorrectiveAction
Detached VU needle,"desktop (1305,183)-(1408,253); AF2-relative approximately (56,-10)-(159,60)","left and right needles wholly inside blueprint VU region (906,408)-(1442,637)","AF2VUShadowLeft; AF2VUNeedleLeft; inherited AnalogFloating geometry expressions","replace inherited scaled expressions with AF2-owned explicit VU geometry and pivots"
Missing left VU face,"no visible face; only LEFT label near failed crop (1790,389)","blueprint face (929,440)-(1168,627)","AF2VUFaceLeft; AnalogFloatingVUFaceStyle","bind explicit valid image path and fixed AF2 face rectangle"
Missing right VU face,"no visible face; only RIGHT label near failed crop (1944,389)","blueprint face (1194,440)-(1425,627)","AF2VUFaceRight; AnalogFloatingVUFaceStyle","bind explicit valid image path and fixed AF2 face rectangle"
Missing complete VU needles,"no needles inside lower-right panel","blueprint pivots (1094,625) and (1356,625)","AF2VUNeedleLeft; AF2VUNeedleRight","place both rotators relative to their face origins and validate rendered pivots"
Oversized speaker panel,"failed crop approximately x=1500..1755 y=377..678 using nearly all lower height","blueprint region (582,408)-(906,755)","AF2 speaker meters and old equal-panel geometry","scale symbols and row spacing to measured center allocation"
Missing Now Playing allocation,"failed lower-left allocation visually empty and undefined","blueprint region (225,408)-(582,755)","AF2NowPlayingTitle/Artist/Album and lower panel geometry","retain measured left allocation regardless of playback state"
Missing artwork region,"no visible artwork frame or reserved artwork rectangle","blueprint (258,570)-(372,695)","AF2ArtworkFrame; AF2Artwork","instantiate fixed artwork frame and conditionally show only artwork content"
Missing progress bar,"no visible track or fill","blueprint track (258,716)-(544,726)","AF2ProgressBackground; AF2Progress","add fixed track plus telemetry-driven Bar meter"
Missing VU enclosure,"failed lower-right is not separated into blueprint VU region","blueprint (906,408)-(1442,637)","old lower panel and divider meters","use measured lower outline plus speaker/VU vertical and VU/Volume horizontal boundaries"
Missing Volume enclosure,"Volume 68 floats near failed crop (1855,535) without a dedicated lower subdivision","blueprint volume allocation (906,637)-(1442,755)","AF2VolumeLabel; AF2VolumeValue; missing divider","add measured horizontal divider at blueprint y=637 and center volume beneath it"
Missing speaker enclosure,"speaker map shares an oversized undifferentiated lower panel","blueprint speaker allocation (582,408)-(906,755)","old equal-panel dividers","use measured vertical boundaries x=582 and x=906"
Incorrect outer border,"failed crop uses a large bright rounded rectangle (1249,193)-(2045,679) inconsistent in weight and proportions","subtle receiver-display outline (209,47)-(1458,779)","AF2TopPanel; AF2LowerPanel; old generic panel architecture","remove stacked generic panels and implement only measured receiver and lower enclosures"
Placeholder WINDOWS logo,"text WINDOWS inside oval near failed crop (1562,205)-(1732,274)","dynamic artwork region (697,65)-(950,247)","AF2LogoGlow; AF2LogoValue","replace textual badge with supplied transparent Windows Image asset selected by DashboardCurrentLogo"
Missing service identity,"no service logo or service text visible","blueprint (401,641)-(511,662)","AF2NowPlayingService","bind existing Now Playing service and keep its measured allocation"
Missing elapsed/duration,"no time display visible","blueprint (401,674)-(512,697)","AF2NowPlayingTime","bind position and duration measures in the measured region"
